Designator,Mid X,Mid Y,Rotation,Layer
.033_1,183.6,-104.2,90.0,top
.033_2,183.6,-126.4,90.0,top
.1_1,180.8,-104.2,90.0,top
.1_2,180.0,-126.6625,90.0,top
.22UF_1,206.9405,-105.128,180.0,top
.22UF_2,207.07,-136.012,180.0,top
100NF_1,206.1,-115.8745,270.0,top
100NF_2,206.234,-145.664,270.0,top
100UF_1,212.704,-105.89,0.0,top
100UF_2,212.57,-137.028,0.0,top
10K_1,153.4,-115.19375,270.0,top
10NF_1,207.2725,-108.23,180.0,top
10NF_2,207.16,-138.2,180.0,top
1UF_1,207.31,-110.56,0.0,top
1UF_2,207.1775,-140.46,0.0,top
4.7NF_1,160.6,-146.6,270.0,top
4.7NF_2,169.8,-147.0,270.0,top
90K_1,153.4,-111.60625,270.0,top
A1,166.58,-116.1,180.0,top
BJ1,145.745,-115.1,270.0,top
C11,179.6625,-132.05,90.0,top
C12,179.2,-109.6,90.0,top
C13,183.2,-134.8,0.0,top
C14,179.6,-113.3,270.0,top
C15,174.4,-145.4,270.0,top
C16,165.4,-145.2,270.0,top
D1,209.4,-101.9375,90.0,top
D2,209.4,-132.8,90.0,top
D3,140.6,-103.0,270.0,top
M1,198.133,-100.305,90.0,top
M2,196.9425,-130.21,90.0,top
PIR1,182.6,-118.0,270.0,top
R1,160.6,-142.4,270.0,top
R2,169.6,-143.0,270.0,top
SW1,151.6,-104.66,180.0,top
TP1,151.46,-148.4,90.0,top
U1,197.32,-110.59,0.0,top
U2,197.16,-140.53,0.0,top
U3,182.8625,-111.35,0.0,top
U4,183.0,-132.0,0.0,top
U5,147.7125,-133.4875,270.0,top
US5881_1,163.0,-145.67,270.0,top
US5881_2,172.065,-146.0,270.0,top
